"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"2001","Yankees","1867","5577","6233","203","804","774","161","8.3%","16.6%",".168",".293",".267",".334",".435",".769",".332","103","","9.3","35.7","-73.8","17.3","1488","976","289","20","203","519","38","1035","64","43","30","119","161","52",".332"
"1953","Reds","1862","5343","5912","166","714","669","25","8.2%","11.9%",".141",".275",".261",".325",".403",".727",".331","86","","1.7","-110.9","73.5","15.2","1396","1006","190","34","166","485","","701","16","","68","113","25","20",".331"
"1994","Blue Jays","1162","3962","4462","115","566","534","79","8.7%","15.5%",".155",".297",".269",".336",".424",".760",".331","94","","4.5","-30.3","-42.5","7.6","1064","709","210","30","115","387","34","691","38","44","30","96","79","26",".331"
"1953","Cubs","1946","5272","5873","137","633","588","49","8.8%","12.7%",".138",".281",".260",".328",".399",".726",".331","86","","6.0","-102.2","-22.1","6.4","1372","974","204","57","137","514","","746","14","","73","140","49","21",".331"
"1947","Indians","1916","5367","5975","112","687","649","29","8.4%","10.2%",".125",".275",".259",".324",".385",".709",".331","100","","-5.3","-8.1","96.3","28.5","1392","995","234","51","112","501","","607","14","","93","107","29","25",".331"
"1933","White Sox","1730","5318","5990","43","683","642","43","9.0%","7.0%",".088",".290",".272",".342",".360",".702",".331","88","","-11.5","-104.2","36.0","14.8","1449","1122","231","53","43","537","","419","27","","108","","43","46",".331"
"2005","Braves","2347","5486","6186","184","769","733","92","8.6%","17.5%",".170",".298",".265",".333",".435",".768",".331","100","","-1.7","-3.3","96.7","29.6","1453","924","308","37","184","534","56","1084","45","46","75","146","92","32",".331"
"1992","Twins","1816","5582","6267","104","747","701","123","8.4%","13.3%",".115",".306",".277",".341",".391",".733",".331","103","","-5.4","14.9","11.8","23.9","1544","1138","275","27","104","527","53","834","53","59","46","132","123","74",".331"
"1902","Reds","1315","4908","5342","18","632","531","131","5.6%","",".081","",".282",".328",".362",".690",".331","101","","-8.3","-1.6","20.0","20.8","1383","1100","188","77","18","297","","","39","","98","","131","",".331"
"1943","Senators","1679","5233","5965","47","666","619","142","10.1%","9.6%",".093",".278",".254",".336",".347",".682",".331","102","","5.9","21.5","13.9","25.1","1328","986","245","50","47","605","","574","39","","88","94","142","55",".331"
"1979","White Sox","1812","5463","6056","127","730","680","97","7.5%","11.0%",".135",".292",".275",".333",".410",".743",".331","100","","-3.8","-2.9","-9.6","19.2","1505","1055","290","33","127","454","29","668","36","45","58","151","97","62",".331"
"1957","Yankees","1882","5271","5992","145","723","680","49","9.4%","11.8%",".141",".284",".268",".339",".409",".747",".331","107","","-0.8","49.0","84.1","33.0","1412","1013","200","54","145","561","66","707","24","43","93","128","49","38",".331"
"2012","Angels","2267","5536","6121","187","767","732","134","7.3%","18.2%",".159",".311",".274",".332",".433",".764",".331","114","","13.5","109.9","5.9","33.8","1518","1036","273","22","187","449","29","1113","47","41","47","138","134","33",".331"
"2009","Rangers","2158","5526","6127","224","784","748","149","7.7%","20.5%",".185",".296",".260",".320",".445",".764",".331","92","","9.1","-49.5","24.6","19.0","1436","889","296","27","224","472","23","1253","37","51","40","97","149","36",".331"
"1938","Dodgers","1815","5142","5853","61","704","647","66","10.4%","10.5%",".110",".282",".257",".338",".367",".705",".331","91","","11.0","-49.6","20.2","14.1","1322","957","225","79","61","611","","615","20","","80","118","66","",".331"
"1926","Giants","1780","5167","5667","73","663","617","94","6.0%","7.4%",".106",".291",".278",".325",".384",".709",".331","92","","16.3","-41.5","67.3","19.6","1435","1090","214","58","73","339","","420","22","","139","","94","",".331"
"1995","Rangers","1548","4913","5566","138","691","651","90","9.5%","15.8%",".144",".296",".265",".338",".410",".747",".331","91","","-3.9","-68.6","8.0","12.7","1304","895","247","24","138","526","28","877","33","45","49","112","90","47",".331"
"1997","Padres","2209","5609","6373","152","795","761","140","9.5%","17.7%",".136",".312",".271",".342",".407",".749",".331","102","","2.6","15.4","-94.2","11.9","1519","1076","275","16","152","604","40","1129","35","58","63","130","140","60",".331"
"2014","Tigers","2330","5630","6202","155","757","731","106","7.1%","18.4%",".150",".319",".277",".331",".426",".757",".331","112","","-7.3","72.7","-41.9","24.8","1557","1051","325","26","155","443","51","1144","44","61","24","137","106","41",".331"
"1941","Senators","1704","5521","6067","52","728","671","79","7.7%","8.0%",".104",".291",".272",".331",".376",".707",".331","88","","-1.7","-95.6","-1.8","12.4","1502","1113","257","80","52","470","","488","14","","62","115","79","36",".331"
"1947","Reds","1846","5299","5954","95","681","637","46","9.1%","8.9%",".116",".273",".259",".330",".375",".704",".331","88","","8.1","-84.0","-17.4","10.1","1372","992","242","43","95","539","","530","21","","95","97","46","",".331"
"1891","Grooms","1266","4748","5249","23","765","603","337","8.9%","8.3%",".086",".282",".260",".330",".345",".676",".331","101","","17.9","29.2","1.3","19.9","1233","941","200","69","23","465","","435","36","","","","337","",".331"
"2006","Orioles","2295","5610","6240","164","768","727","121","7.6%","14.1%",".146",".302",".277",".339",".424",".763",".331","96","","-4.5","-36.4","-2.7","17.1","1556","1084","288","20","164","474","35","878","73","41","40","145","121","32",".331"
"1989","Twins","1881","5581","6207","117","740","691","111","7.7%","12.0%",".125",".298",".276",".334",".402",".736",".331","104","","-1.0","26.0","-44.0","20.0","1542","1112","278","35","117","478","40","743","39","58","51","126","111","53",".331"
"1915","Red Sox","1748","5024","5865","14","668","575","118","9.0%","8.1%",".079",".285",".260",".336",".339",".676",".331","104","","-22.3","0.8","44.8","26.7","1308","1016","202","76","14","527","","476","49","","265","","118","117",".331"
"1944","Dodgers","1914","5393","6009","56","689","631","45","8.1%","7.5%",".097",".285",".269",".331",".366",".697",".331","95","","5.6","-28.7","-57.0","10.8","1450","1088","255","51","56","485","","453","14","","117","109","45","",".331"
"1964","Twins","2065","5610","6318","221","737","707","46","8.8%","16.1%",".175",".270",".252",".322",".427",".749",".331","104","","2.7","34.6","52.3","27.9","1413","919","227","46","221","553","43","1019","44","37","74","120","46","22",".331"
"2002","Rockies","2393","5512","6165","152","778","726","103","8.1%","16.9%",".149",".311",".274",".337",".423",".760",".331","82","","-0.4","-138.6","34.1","9.6","1508","1032","283","41","152","497","40","1043","56","50","49","133","103","53",".331"
"2017","Cubs","2420","5496","6283","223","822","785","62","9.9%","22.3%",".182",".302",".255",".338",".437",".775",".331","101","87.4","-6.8","4.8","57.6","26.7","1402","876","274","29","223","622","54","1401","82","32","48","134","62","31",".331"
"2005","Cardinals","2324","5538","6246","170","805","757","83","8.5%","15.2%",".153",".297",".270",".339",".423",".762",".331","100","","9.0","12.1","54.6","27.1","1494","1011","287","26","170","534","60","947","62","35","77","127","83","36",".331"
"1981","White Sox","1251","3615","4064","76","476","438","86","7.9%","12.7%",".115",".296",".272",".335",".387",".722",".331","110","","1.0","44.4","-16.9","16.5","982","744","135","27","76","322","16","518","43","36","48","89","86","44",".331"
"1873","Canaries","520","2562","2603","9","644","425","22","1.6%","1.0%",".082",".317",".316",".327",".398",".725",".331","108","","2.3","47.8","22.4","12.8","810","657","106","38","9","41","","25","","","","","22","11",".331"
"2002","Phillies","2260","5524","6323","165","710","676","104","10.1%","17.3%",".163",".294",".259",".339",".422",".761",".331","101","","1.1","5.3","27.8","23.9","1428","897","325","41","165","640","70","1095","53","39","66","129","104","43",".331"
"2012","Rockies","2429","5577","6183","166","758","716","100","7.3%","19.6%",".163",".321",".274",".330",".436",".766",".331","90","","2.8","-73.6","-14.7","10.3","1526","1002","306","52","166","450","34","1213","36","39","74","132","100","40",".331"
"1903","Cubs","1323","4733","5323","9","695","548","259","7.9%","",".072","",".275",".340",".347",".687",".331","99","","13.1","7.4","27.4","23.6","1300","1038","191","62","9","422","","","50","","118","","259","",".331"
"1950","Browns","1893","5163","5971","106","684","642","39","11.6%","12.4%",".124",".270",".246",".337",".370",".707",".331","76","","-11.5","-206.5","-60.9","-5.3","1269","885","235","43","106","691","","742","20","","97","138","39","40",".331"
"1961","Giants","1959","5233","5887","183","773","709","79","8.6%","13.0%",".159",".276",".264",".329",".423",".752",".331","101","","-4.5","1.4","54.8","25.6","1379","945","219","32","183","506","58","764","30","48","70","124","79","54",".331"
"2017","Nationals","2322","5553","6214","215","819","796","108","8.7%","21.4%",".183",".311",".266",".332",".449",".782",".331","99","88.1","11.9","2.4","38.7","24.4","1477","920","311","31","215","542","56","1327","31","45","43","116","108","30",".331"
"1933","Tigers","1729","5501","6090","57","722","676","68","7.8%","8.7%",".111",".289",".269",".329",".380",".709",".331","87","","-8.0","-112.7","63.9","17.0","1479","1061","283","78","57","475","","527","21","","93","","68","50",".331"
"1910","Red Sox","1586","5204","5917","43","637","527","194","7.3%","",".092","",".259",".323",".351",".674",".331","109","","-2.5","52.8","32.4","28.7","1350","1045","175","87","43","430","","","56","","227","","194","",".331"
"1889","Quakers","1194","4695","5123","44","742","605","269","7.7%","6.9%",".096",".280",".266",".327",".362",".689",".331","92","","-2.3","-72.2","-30.5","9.1","1248","937","215","52","44","393","","353","35","","","","269","",".331"
"1986","Angels","1732","5433","6297","167","786","743","109","10.7%","13.7%",".149",".273",".255",".338",".404",".742",".331","103","","4.5","30.7","48.0","29.5","1387","948","236","36","167","671","45","860","40","61","91","134","109","42",".331"
"1980","Indians","1770","5470","6259","89","738","692","118","9.9%","10.0%",".104",".296",".277",".350",".381",".731",".331","102","","-0.3","12.4","-66.6","16.3","1517","1167","221","40","89","617","51","625","37","74","60","165","118","58",".331"
"2003","Mariners","2180","5561","6281","139","795","759","108","9.3%","15.7%",".139",".306",".271",".344",".410",".754",".331","104","","2.4","36.4","62.6","31.1","1509","1047","290","33","139","586","34","989","53","46","35","130","108","37",".331"
"1995","Cubs","1996","4963","5543","158","693","648","105","7.9%","17.2%",".165",".298",".265",".327",".430",".757",".331","96","","3.6","-26.7","51.3","20.8","1315","851","267","39","158","440","46","953","34","35","71","110","105","37",".331"
"1982","Tigers","1734","5590","6166","177","729","684","93","7.6%","13.1%",".152",".282",".266",".324",".418",".742",".331","103","","-7.3","17.3","58.1","27.9","1489","1035","237","40","177","470","29","807","26","39","41","99","93","66",".331"
"2003","Pirates","2346","5581","6315","163","753","711","86","8.4%","16.6%",".153",".302",".267",".338",".420",".758",".331","96","","5.5","-23.5","29.3","21.0","1492","1009","275","45","163","529","42","1049","87","38","79","112","86","37",".331"
"1966","Pirates","2082","5676","6229","158","759","715","64","6.5%","16.2%",".149",".314",".279",".329",".428",".757",".331","108","","-6.7","52.3","46.7","33.8","1586","1124","238","66","158","405","75","1011","35","40","73","111","64","60",".331"
"1962","Tigers","2028","5456","6234","209","758","719","69","10.4%","14.3%",".163",".260",".248",".330",".411",".740",".331","98","","6.0","-10.5","24.3","19.9","1352","916","191","36","209","651","40","894","33","38","56","122","69","21",".331"
"1961","Dodgers","2072","5189","5940","157","735","673","86","10.0%","13.4%",".143",".281",".262",".338",".405",".743",".331","93","","0.7","-51.6","0.5","15.0","1358","968","193","40","157","596","53","796","23","36","96","117","86","45",".331"
"2006","Cardinals","2359","5522","6225","184","781","745","59","8.5%","14.8%",".163",".292",".269",".337",".431",".769",".331","98","","5.9","-13.4","46.0","23.3","1484","981","292","27","184","531","70","922","61","40","71","129","59","32",".331"
"1914","Giants","1789","5146","5789","30","672","566","239","7.7%","8.3%",".084",".287",".265",".330",".348",".679",".331","104","","29.9","57.4","60.4","30.8","1363","1052","222","59","30","447","","479","57","","139","","239","",".331"
"1996","Blue Jays","1664","5599","6295","177","766","712","116","8.4%","17.6%",".161",".293",".259",".331",".420",".752",".331","90","","4.6","-79.7","-39.7","11.1","1451","937","302","35","177","529","19","1105","92","37","38","120","116","38",".331"
"2002","Cardinals","2366","5505","6246","175","787","758","86","8.7%","14.8%",".157",".292",".268",".338",".425",".763",".331","101","","11.7","18.0","82.2","30.4","1475","989","285","26","175","542","77","927","67","49","83","123","86","42",".331"
"1995","Brewers","1612","5000","5631","128","740","700","105","8.9%","14.2%",".143",".292",".266",".336",".409",".745",".331","91","","2.2","-60.9","-14.0","11.5","1329","910","249","42","128","502","20","800","46","42","41","105","105","40",".331"
"1987","Yankees","1777","5511","6222","196","788","749","105","9.7%","15.3%",".156",".284",".262",".336",".418",".754",".331","100","","0.1","3.4","3.0","21.6","1445","994","239","16","196","604","37","949","28","38","38","150","105","43",".331"
"1958","Red Sox","1923","5218","5972","155","697","667","29","10.7%","13.7%",".144",".276",".256",".338",".400",".739",".331","98","","0.8","-10.5","40.5","22.5","1335","921","229","30","155","638","38","820","27","29","60","149","29","22",".331"
