,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Indians,99,62,46,543,161,1452.1,6.4,3,1.07,0.3,70.90%,,,,4.34,4.38,,22.3
,Royals,75,86,35,483,161,1450,5.75,2.86,1.09,0.299,70.60%,,,,4.55,4.54,,21.3
,Padres,91,71,47,573,162,1489,7.22,3.06,0.83,0.285,72.10%,,,,3.72,3.88,,20.7
,Dodgers,90,72,50,545,162,1466.1,7.44,3.28,0.77,0.291,73.10%,,,,3.48,3.8,,20.5
,Rangers,90,72,43,510,163,1449.1,6.06,3.61,1.04,0.305,71.20%,,,,4.65,4.63,,19.4
,White Sox,85,77,43,553,162,1461,6.4,3.79,1.07,0.298,71.60%,,,,4.53,4.64,,17.8
,Expos,88,74,43,595,162,1441.1,7.53,3.01,0.95,0.284,72.90%,,,,3.78,3.99,,17.6
,Marlins,80,82,41,579,162,1443,6.55,3.73,0.7,0.292,71.10%,,,,3.95,4.1,,17.2
,Blue Jays,74,88,35,465,162,1445.2,6.43,3.8,1.16,0.293,70.60%,,,,4.58,4.76,,16.7
,Orioles,88,74,44,541,163,1468.2,6.42,3.66,1.28,0.305,68.60%,,,,5.15,4.89,,15.3
,Red Sox,85,77,37,571,162,1458,7.19,4.46,1.14,0.315,68.80%,,,,5,4.81,,15.1
,Phillies,67,95,42,549,162,1423.1,6.6,3.22,1.01,0.297,68.30%,,,,4.48,4.31,,13.5
,Cardinals,88,74,43,575,162,1452.1,6.51,3.34,1.07,0.275,72.90%,,,,3.98,4.46,,11.9
,Reds,81,81,52,587,162,1443,6.79,3.69,1.04,0.292,70.80%,,,,4.33,4.48,,11.5
,Mets,71,91,41,497,162,1440,6.24,3.33,0.99,0.298,70.30%,,,,4.22,4.42,,11.3
,Astros,82,80,35,532,162,1447,7.23,3.35,0.96,0.313,70.20%,,,,4.38,4.21,,11.3
,Mariners,85,76,34,564,161,1431.2,6.29,3.8,1.36,0.301,69.20%,,,,5.21,5.13,,11
,Angels,70,91,38,544,161,1439,6.58,4.14,1.37,0.299,67.90%,,,,5.31,5.24,,11
,Pirates,73,89,37,584,162,1453.1,6.47,2.97,1.13,0.31,69.20%,,,,4.64,4.46,,10.9
,Cubs,76,86,34,600,162,1456.1,6.35,3.37,1.14,0.283,71.30%,,,,4.36,4.64,,9.4
,Rockies,83,79,34,609,162,1422.2,5.9,3.95,1.25,0.306,65.90%,,,,5.6,5.13,,9.2
,Athletics,78,84,34,580,162,1456.1,5.46,3.98,1.27,0.304,70.10%,,,,5.2,5.22,,8.8
,Twins,78,84,31,549,162,1439.2,6,3.63,1.46,0.292,69.10%,,,,5.3,5.24,,8.6
,Brewers,80,82,42,546,162,1447.1,5.26,3.95,1.32,0.29,69.40%,,,,5.15,5.35,,8.4
,Giants,68,94,35,587,162,1442.1,6.22,3.56,1.21,0.295,68.70%,,,,4.72,4.86,,4.7
,Tigers,53,109,22,588,162,1432.2,6.01,4.93,1.51,0.313,65.60%,,,,6.38,5.83,,2.9
1995,Braves,90,54,34,483,144,1291.2,7.57,3.04,0.75,0.287,74.00%,,,,3.44,3.58,,24.2
,Indians,100,44,50,479,144,1301,6.41,3.08,0.93,0.284,73.20%,,,,3.83,4.16,,20.1
,Red Sox,86,58,39,514,144,1292.2,6.18,3.31,0.88,0.298,69.10%,,,,4.41,4.22,,18.4
,Mariners,79,66,39,469,145,1289.1,7.46,4.13,1.04,0.307,71.80%,,,,4.52,4.43,,17.8
,Dodgers,78,66,37,499,144,1295,7.37,3.21,0.87,0.28,71.30%,,,,3.67,3.88,,16.4
,Orioles,71,73,29,480,144,1267,6.61,3.72,1.06,0.271,71.60%,,,,4.31,4.49,,16.2
,Angels,78,67,42,513,145,1284.1,6.31,3.41,1.14,0.288,70.90%,,,,4.53,4.59,,16
,Astros,76,68,32,538,144,1320.1,7.2,3.14,0.8,0.308,70.10%,,,,4.06,3.82,,14.9
,Reds,85,59,38,473,144,1289.1,6.3,2.96,0.91,0.288,71.50%,,,,4.03,4.08,,14.6
,Expos,66,78,42,540,144,1283.2,6.66,2.92,0.9,0.294,71.00%,,,,4.11,4.03,,14.6
,Mets,69,75,36,442,144,1291,6.28,2.8,0.93,0.29,72.10%,,,,3.88,4.06,,14.4
,Rangers,74,70,34,454,144,1285,5.87,3.6,1.06,0.302,70.50%,,,,4.66,4.62,,14.1
,Royals,70,74,37,452,144,1288,5.33,3.51,0.99,0.287,70.40%,,,,4.49,4.61,,14.1
,Rockies,77,67,43,600,144,1288.1,6.22,3.58,1.12,0.313,68.50%,,,,4.97,4.62,,14
,Yankees,79,65,35,447,145,1284.2,6.36,3.75,1.11,0.286,71.50%,,,,4.56,4.62,,13.3
,Padres,70,74,35,481,144,1284.2,7.33,3.59,0.99,0.291,70.50%,,,,4.15,4.22,,12.3
,Blue Jays,56,88,22,409,144,1292.2,6.22,4.55,1.01,0.296,68.80%,,,,4.88,4.81,,11.7
,Athletics,67,77,34,502,144,1273,6.29,3.93,1.08,0.295,68.10%,,,,4.97,4.7,,11.1
,Pirates,58,86,29,535,144,1275.1,6.15,3.37,0.92,0.313,68.50%,,,,4.71,4.32,,11
,Phillies,69,75,41,485,144,1290.1,6.84,3.75,0.93,0.286,71.40%,,,,4.21,4.31,,10.5
,Marlins,67,76,29,543,143,1286,6.96,3.93,0.97,0.298,72.10%,,,,4.28,4.38,,9.7
,Cardinals,62,81,38,520,143,1265.2,5.99,3.16,0.96,0.292,70.40%,,,,4.1,4.31,,9.3
,Cubs,73,71,45,558,144,1301,6.41,3.58,1.12,0.286,72.90%,,,,4.13,4.57,,8.8
,White Sox,68,76,36,517,145,1284.2,6.25,4.32,1.15,0.301,70.70%,,,,4.85,4.91,,8.1
,Tigers,60,84,38,510,144,1275,5.15,3.78,1.2,0.312,67.30%,,,,5.5,5.06,,7.8
,Brewers,65,79,31,465,144,1286,4.89,4.22,1.02,0.296,70.50%,,,,4.82,5.01,,7.4
,Twins,56,88,27,480,144,1272.2,5.59,3.77,1.49,0.299,65.50%,,,,5.77,5.35,,3.5
,Giants,67,77,34,525,144,1293.2,5.57,3.51,1.2,0.289,68.40%,,,,4.86,4.9,,2.2
1994,Braves,68,46,26,358,114,1026.1,7.59,3.31,0.67,0.286,72.10%,,,,3.57,3.58,,20.3
,Royals,64,51,38,362,115,1031.2,6.25,3.42,0.83,0.289,69.50%,,,,4.24,4.17,,16.1
,Expos,74,40,46,373,114,1036.2,6.99,2.5,0.87,0.281,72.80%,,,,3.57,3.78,,15.9
,Padres,47,70,27,390,117,1045.2,7.42,3.38,0.85,0.291,69.50%,,,,4.08,3.91,,15.4
,White Sox,67,46,20,352,113,1011.1,6.71,3.35,1.02,0.279,71.80%,,,,3.96,4.29,,14.8
,Indians,66,47,21,335,113,1018.2,5.88,3.57,0.83,0.306,69.50%,,,,4.39,4.33,,14.5
,Reds,66,48,27,376,115,1038.1,6.93,2.94,1.01,0.294,73.70%,,,,3.78,4.11,,13.3
,Yankees,70,43,31,354,113,1019.2,5.79,3.51,1.06,0.288,71.80%,,,,4.34,4.61,,12.2
,Blue Jays,55,60,26,336,115,1025,7.31,4.23,1.12,0.302,71.10%,,,,4.7,4.62,,12.1
,Orioles,63,49,37,346,112,997.2,6.01,3.17,1.18,0.283,73.80%,,,,4.31,4.64,,12
,Dodgers,58,56,20,353,114,1014,6.5,3.14,0.8,0.301,70.60%,,,,4.17,3.99,,11.9
,Mariners,49,63,21,364,112,984,6.98,4.45,1,0.311,67.20%,,,,5.01,4.59,,11.9
,Red Sox,54,61,30,423,115,1029.1,6.37,3.93,1.05,0.305,68.00%,,,,4.95,4.63,,11
,Phillies,54,61,30,358,115,1024.1,6.14,3.31,0.86,0.287,72.20%,,,,3.86,4.2,,10.6
,Astros,66,49,29,383,115,1029.2,6.46,3.21,0.89,0.297,72.30%,,,,3.97,4.15,,9.3
,Mets,55,58,35,351,113,1023,5.63,2.92,1.03,0.291,71.20%,,,,4.15,4.4,,9.2
,Cubs,49,64,27,399,113,1023.2,6.3,3.45,1.06,0.295,70.60%,,,,4.47,4.46,,8.1
,Brewers,53,62,23,367,115,1036,5.01,3.66,1.1,0.283,69.60%,,,,4.62,4.91,,7.8
,Rangers,52,62,26,415,114,1023,6.01,3.47,1.38,0.306,65.50%,,,,5.45,5.04,,6.9
,Angels,47,68,21,372,115,1027,5.98,3.82,1.31,0.307,68.30%,,,,5.43,5.11,,6.9
,Athletics,51,63,23,422,114,1003.1,6.57,4.57,1.15,0.282,69.50%,,,,4.82,4.96,,6.8
,Rockies,53,64,28,446,117,1031,6.14,3.91,1.05,0.32,69.00%,,,,5.17,4.73,,6.4
,Giants,55,60,33,402,115,1025.1,5.75,3.27,1.07,0.28,73.70%,,,,3.99,4.6,,6.1
,Pirates,53,61,24,399,114,1005.2,5.82,3.31,1.05,0.304,69.00%,,,,4.65,4.58,,5.8
,Twins,53,60,29,385,113,1005,5.39,3.47,1.37,0.313,66.20%,,,,5.69,5.16,,5.7
,Tigers,53,62,20,361,115,1017.2,4.95,3.97,1.31,0.292,67.00%,,,,5.39,5.32,,4.9
,Marlins,51,64,30,415,115,1014.2,5.76,3.8,1.06,0.293,70.20%,,,,4.51,4.77,,4.1
,Cardinals,53,61,29,445,115,1018,5.59,3.14,1.18,0.308,68.10%,,,,5.17,4.76,,3
1993,Braves,104,58,46,515,162,1455,6.41,2.97,0.62,0.273,74.80%,,,,3.14,3.5,,25.8
,Royals,84,78,48,465,162,1445.1,6.13,3.56,0.65,0.287,70.40%,,,,4.04,3.85,,21.9
,Red Sox,80,82,44,551,162,1452.1,6.18,3.42,0.79,0.28,71.10%,,,,3.8,3.99,,19.8
,White Sox,94,68,48,484,162,1454,6.03,3.5,0.77,0.285,73.30%,,,,3.72,4.02,,19.3
,Blue Jays,95,67,50,506,162,1441.1,6.39,3.87,0.84,0.293,70.90%,,,,4.22,4.13,,18.8
,Dodgers,81,81,36,508,162,1472.2,6.37,3.47,0.63,0.288,72.20%,,,,3.5,3.71,,18.7
,Mariners,82,80,41,515,162,1453.2,6.71,3.75,0.84,0.295,71.50%,,,,4.2,4.09,,18.7
,Phillies,97,65,46,512,162,1473,6.82,3.5,0.79,0.286,69.70%,,,,3.97,3.85,,18.2
,Astros,85,77,42,486,162,1441.1,6.59,2.97,0.73,0.284,72.80%,,,,3.49,3.65,,17.8
,Twins,71,91,44,518,162,1444.1,5.61,3.2,0.92,0.308,67.90%,,,,4.73,4.23,,15.4
,Rangers,86,76,45,521,162,1438.1,5.99,3.52,0.9,0.294,70.80%,,,,4.28,4.22,,15.1
,Expos,94,68,61,548,163,1456.2,5.77,3.22,0.74,0.274,70.90%,,,,3.55,3.94,,15.1
,Mets,59,103,22,459,162,1438,5.43,2.72,0.87,0.288,69.00%,,,,4.05,4.05,,14.1
,Orioles,85,77,42,491,162,1442.2,5.61,3.61,0.95,0.282,71.00%,,,,4.32,4.4,,14.1
,Angels,71,91,41,482,162,1430.1,5.3,3.46,0.96,0.289,70.30%,,,,4.36,4.46,,13.9
,Reds,73,89,37,537,162,1434,6.25,3.19,0.99,0.3,69.40%,,,,4.51,4.19,,13.5
,Cubs,84,78,56,585,163,1449.2,5.62,2.92,0.95,0.295,71.10%,,,,4.18,4.17,,13.3
,Padres,61,101,32,559,162,1437.2,5.99,3.49,0.93,0.289,69.50%,,,,4.23,4.23,,12.3
,Giants,103,59,50,576,162,1456.2,6.07,2.73,1.04,0.274,75.60%,,,,3.63,4.15,,12.2
,Brewers,69,93,29,515,162,1447,5.04,3.25,0.95,0.286,69.20%,,,,4.47,4.45,,12
,Yankees,88,74,38,494,162,1438.1,5.63,3.45,1.06,0.285,71.10%,,,,4.37,4.49,,11.9
,Marlins,64,98,48,571,162,1440.1,5.9,3.74,0.84,0.286,71.50%,,,,4.15,4.21,,11.7
,Cardinals,87,75,54,584,162,1453,4.8,2.37,0.94,0.289,69.90%,,,,4.1,4.16,,10.9
,Tigers,85,77,36,537,162,1436.2,5.19,3.4,1.18,0.289,69.40%,,,,4.7,4.77,,8.9
,Pirates,75,87,34,546,162,1445.2,5.18,3.02,0.95,0.297,68.40%,,,,4.77,4.32,,8.8
,Indians,76,86,45,572,162,1445.2,5.53,3.68,1.13,0.301,71.60%,,,,4.58,4.7,,7
,Athletics,68,94,42,586,162,1452.1,5.35,4.21,0.97,0.296,69.60%,,,,4.9,4.71,,6.8
,Rockies,67,95,35,615,162,1431.1,5.74,3.83,1.14,0.314,65.40%,,,,5.44,4.72,,5.2
1992,Reds,90,72,55,519,162,1449.2,6.58,2.92,0.68,0.286,73.30%,,,,3.46,3.33,,20.9
,Red Sox,73,89,39,490,162,1448.2,5.86,3.32,0.66,0.285,71.60%,,,,3.63,3.63,,20.4
,Twins,90,72,50,485,162,1453,5.72,2.97,0.75,0.281,72.20%,,,,3.72,3.66,,19.8
,Braves,98,64,41,500,162,1460,5.84,3.01,0.55,0.273,74.00%,,,,3.14,3.34,,18.8
,Blue Jays,96,66,49,446,162,1440.2,5.96,3.38,0.77,0.275,71.10%,,,,3.92,3.8,,18.6
,Rangers,77,85,42,521,162,1460.1,6.37,3.69,0.7,0.3,69.60%,,,,4.1,3.7,,18.3
,Padres,82,80,46,525,162,1461.1,5.98,2.7,0.68,0.29,72.50%,,,,3.58,3.39,,18.1
,Mets,72,90,34,495,162,1446.2,6.38,3,0.61,0.292,71.10%,,,,3.68,3.32,,17.5
,Orioles,89,73,48,451,162,1464,5.2,3.18,0.76,0.277,73.20%,,,,3.79,3.86,,17.4
,Angels,72,90,42,459,162,1446,5.53,3.31,0.81,0.289,73.40%,,,,3.84,3.91,,16.9
,Brewers,92,70,39,500,162,1457,4.9,2.69,0.78,0.262,74.10%,,,,3.43,3.82,,16.2
,Dodgers,63,99,29,515,162,1438,6.14,3.46,0.51,0.29,72.10%,,,,3.41,3.37,,15.8
,Expos,87,75,49,511,162,1467.2,6.22,3.22,0.56,0.27,74.00%,,,,3.25,3.39,,15.3
,Royals,72,90,44,502,162,1447.1,5.19,3.18,0.66,0.282,71.60%,,,,3.81,3.73,,15.1
,Yankees,76,86,44,470,162,1452.2,5.27,3.79,0.8,0.286,70.50%,,,,4.22,4.1,,13.3
,White Sox,86,76,52,454,162,1461.2,4.99,3.39,0.76,0.271,71.70%,,,,3.84,4.01,,13.2
,Cardinals,83,79,47,584,162,1480,5.12,2.43,0.72,0.271,73.80%,,,,3.38,3.56,,13
,Pirates,96,66,43,516,162,1479.2,5.13,2.77,0.61,0.277,74.10%,,,,3.35,3.51,,12.1
,Cubs,78,84,37,534,162,1469,5.52,3.52,0.66,0.269,73.70%,,,,3.39,3.77,,11.9
,Athletics,96,66,58,562,162,1447,5.24,3.74,0.8,0.276,73.50%,,,,3.73,4.11,,10.1
,Indians,76,86,46,541,162,1470,5.45,3.47,0.97,0.288,72.20%,,,,4.11,4.2,,9.7
,Giants,72,90,30,548,162,1461,5.71,3.09,0.79,0.277,73.20%,,,,3.61,3.76,,9.5
,Mariners,64,98,30,534,162,1445,5.57,4.12,0.8,0.291,69.20%,,,,4.55,4.2,,9.3
,Astros,81,81,45,584,162,1459.1,6.03,3.32,0.7,0.28,71.80%,,,,3.74,3.64,,8
,Phillies,70,92,34,485,162,1428,5.36,3.46,0.71,0.279,69.00%,,,,4.13,3.83,,7.5
,Tigers,75,87,36,517,162,1435.2,4.34,3.54,0.97,0.287,69.80%,,,,4.61,4.46,,6.1
1991,Blue Jays,91,71,60,509,162,1462.2,5.97,3.22,0.74,0.264,73.30%,,,,3.5,3.76,,22.7
,Mets,77,84,39,475,161,1437.1,6.44,2.57,0.68,0.29,70.70%,,,,3.56,3.31,,21.5
,Indians,57,105,33,451,162,1441.1,5.38,2.75,0.69,0.302,67.80%,,,,4.24,3.65,,20.9
,Dodgers,93,69,40,529,162,1458,6.35,3.09,0.59,0.274,74.80%,,,,3.07,3.39,,19.8
,Royals,82,80,41,457,162,1466,6.16,3.25,0.64,0.296,69.70%,,,,3.92,3.59,,19.5
,Angels,81,81,50,472,162,1441.2,6.18,3.39,0.88,0.278,74.00%,,,,3.69,3.96,,18.3
,Braves,94,68,48,507,162,1452.2,6,2.98,0.73,0.266,70.90%,,,,3.49,3.63,,17.8
,Pirates,98,64,51,515,162,1456.2,5.68,2.48,0.72,0.283,72.10%,,,,3.44,3.53,,16.8
,Reds,74,88,43,516,162,1440,6.23,3.5,0.79,0.282,71.20%,,,,3.83,3.84,,16.5
,Padres,84,78,47,495,162,1452.2,5.71,2.83,0.86,0.273,72.80%,,,,3.58,3.8,,16.1
,Red Sox,84,78,45,490,162,1439.2,6.25,3.31,0.92,0.285,71.20%,,,,4.02,3.96,,15.8
,Twins,95,67,53,453,162,1449.1,5.44,3.03,0.86,0.276,73.40%,,,,3.69,3.96,,15.2
,Cubs,77,83,40,520,160,1456.2,5.73,3.35,0.72,0.282,68.70%,,,,4.05,3.8,,15.1
,Yankees,71,91,37,539,162,1444,5.83,3.15,0.95,0.297,69.40%,,,,4.43,4.07,,15.1
,Mariners,83,79,48,545,162,1464.1,6.16,3.86,0.84,0.281,74.20%,,,,3.79,4.08,,14.3
,Orioles,67,95,42,534,162,1457.2,5.36,3.11,0.91,0.295,68.30%,,,,4.59,4.07,,13.9
,Cardinals,84,78,51,531,162,1435.1,5.15,2.85,0.71,0.275,71.40%,,,,3.69,3.79,,13.8
,Expos,71,90,39,528,161,1440.1,5.68,3.65,0.69,0.27,71.70%,,,,3.64,3.88,,10.9
,White Sox,87,75,40,500,162,1478,5.62,3.66,0.94,0.256,72.90%,,,,3.8,4.24,,10.9
,Brewers,83,79,41,503,162,1463.2,5.28,3.24,0.9,0.286,71.10%,,,,4.18,4.16,,10.2
,Rangers,85,77,41,548,162,1479,6.22,4.03,0.92,0.29,69.60%,,,,4.47,4.24,,10.1
,Phillies,78,84,35,483,162,1463,6.08,4.12,0.68,0.273,72.40%,,,,3.86,3.95,,9.8
,Tigers,84,78,38,488,162,1450.1,4.59,3.68,0.92,0.294,70.40%,,,,4.54,4.44,,9.5
,Giants,75,87,45,496,162,1442,5.65,3.4,0.89,0.278,72.00%,,,,4.03,4.1,,6.9
,Astros,65,97,36,527,162,1453,6.4,4.03,0.8,0.276,70.90%,,,,4,3.99,,5.6
,Athletics,84,78,49,559,162,1444.1,5.56,4.08,0.97,0.28,70.90%,,,,4.57,4.49,,5.2
1990,Mets,91,71,41,430,162,1440,7.61,2.78,0.74,0.29,72.80%,,,,3.43,3.17,,24.4
,Red Sox,88,74,44,485,162,1442,6.22,3.24,0.57,0.298,71.40%,,,,3.72,3.43,,23.6
,Reds,91,71,50,478,162,1456.1,6.36,3.36,0.77,0.276,75.70%,,,,3.4,3.69,,21.2
,Angels,80,82,42,431,162,1454,5.84,3.37,0.66,0.3,70.90%,,,,3.81,3.66,,20.2
,Mariners,77,85,41,473,162,1443.1,6.63,3.78,0.75,0.277,71.50%,,,,3.72,3.76,,19.5
,Cardinals,70,92,39,526,162,1443.1,5.19,2.96,0.61,0.284,68.90%,,,,3.88,3.59,,17.5
,Blue Jays,86,76,48,479,162,1454,5.52,2.75,0.89,0.282,73.10%,,,,3.84,3.85,,17.4
,White Sox,94,68,68,529,162,1449.1,5.68,3.4,0.66,0.27,72.30%,,,,3.61,3.71,,16.4
,Rangers,83,79,36,464,162,1444.2,6.21,3.88,0.7,0.279,71.00%,,,,3.83,3.83,,16.3
,Expos,85,77,50,503,162,1473.1,6.05,3.12,0.78,0.271,75.60%,,,,3.37,3.7,,14.5
,Athletics,103,59,64,465,162,1456,5.14,3.05,0.76,0.256,75.70%,,,,3.18,3.84,,14.5
,Padres,75,87,35,450,162,1461.2,5.71,3.12,0.91,0.28,73.40%,,,,3.68,3.93,,14.4
,Twins,74,88,43,472,162,1435.2,5.47,3.07,0.84,0.298,70.50%,,,,4.14,3.89,,14.4
,Dodgers,86,76,29,501,162,1442,6.37,2.98,0.86,0.278,70.60%,,,,3.74,3.68,,14.1
,Royals,75,86,33,473,161,1420.2,6.37,3.55,0.73,0.299,71.10%,,,,3.93,3.73,,13.9
,Pirates,95,67,43,526,162,1447,5.27,2.57,0.84,0.27,73.50%,,,,3.4,3.77,,13.8
,Brewers,74,88,42,502,162,1445,4.8,2.92,0.75,0.294,68.80%,,,,4.11,3.88,,13.6
,Cubs,77,85,42,508,162,1442.2,5.47,3.57,0.75,0.294,68.80%,,,,4.34,3.93,,13.1
,Braves,65,97,30,508,162,1429.2,5.9,3.64,0.81,0.302,67.10%,,,,4.58,3.93,,13
,Yankees,67,95,41,504,162,1444.2,5.66,3.85,0.9,0.284,70.80%,,,,4.23,4.18,,10.7
,Astros,75,87,37,510,162,1450,5.3,3.08,0.81,0.274,72.90%,,,,3.62,3.9,,8.5
,Indians,77,85,47,463,162,1427.1,5.42,3.27,1.03,0.289,72.10%,,,,4.27,4.26,,8.1
,Giants,85,77,45,497,162,1446.1,4.9,3.44,0.82,0.284,71.80%,,,,4.08,4.09,,7.8
,Phillies,77,85,35,536,162,1449,5.22,4.04,0.77,0.272,70.60%,,,,4.09,4.17,,7.8
,Orioles,76,85,43,518,161,1435.1,4.87,3.37,1.01,0.276,73.30%,,,,4.07,4.34,,7.4
,Tigers,79,83,45,462,162,1430.1,5.39,4.16,0.97,0.276,71.50%,,,,4.39,4.49,,6.4
1989,Royals,92,70,38,426,162,1451.2,6.06,2.82,0.53,0.293,71.00%,,,,3.55,3.18,,23.6
,Blue Jays,89,73,38,439,162,1466.2,5.21,2.93,0.61,0.279,71.40%,,,,3.59,3.55,,22.2
,Angels,91,71,38,413,162,1454.1,5.55,2.88,0.7,0.278,75.60%,,,,3.28,3.56,,20.1
,Dodgers,77,83,36,445,160,1463.1,6.47,3.1,0.58,0.272,76.00%,,,,2.95,3.26,,19.6
,Braves,63,97,33,501,161,1447.2,6.01,2.91,0.71,0.278,69.30%,,,,3.71,3.45,,19
,Indians,73,89,38,449,162,1453,5.23,2.8,0.66,0.28,71.20%,,,,3.65,3.54,,18.8
,Rangers,83,79,44,483,162,1434.1,6.98,4.1,0.75,0.274,69.80%,,,,3.92,3.76,,17
,Mets,87,75,38,436,162,1454.1,6.86,3.29,0.71,0.265,73.80%,,,,3.3,3.42,,16.7
,Mariners,73,89,44,492,162,1438,5.61,3.5,0.71,0.286,69.50%,,,,4.01,3.8,,16.7
,Athletics,99,63,57,479,162,1448.1,5.78,3.17,0.64,0.266,74.30%,,,,3.13,3.52,,16.5
,Cardinals,86,76,43,521,164,1461,5.2,2.97,0.52,0.268,71.60%,,,,3.37,3.41,,16.4
,Red Sox,83,79,42,459,162,1460.1,6.5,3.38,0.81,0.294,70.10%,,,,4.01,3.68,,16.2
,Cubs,93,69,55,500,162,1460.1,5.66,3.28,0.65,0.276,73.30%,,,,3.43,3.59,,16.1
,Reds,75,87,37,501,162,1464.1,6.03,3.44,0.77,0.28,71.70%,,,,3.74,3.75,,15.9
,Expos,81,81,35,449,162,1468.1,6.49,3.18,0.74,0.277,73.20%,,,,3.48,3.51,,15.3
,Padres,89,73,52,407,162,1457.1,5.76,2.97,0.82,0.271,73.70%,,,,3.38,3.7,,15
,Brewers,81,81,45,453,162,1432.1,5.1,2.87,0.81,0.285,71.80%,,,,3.8,3.82,,12.7
,Astros,86,76,38,508,162,1479.1,5.87,3.35,0.64,0.274,71.10%,,,,3.66,3.55,,10.8
,Twins,80,82,38,459,162,1429.1,5.36,3.15,0.88,0.291,70.40%,,,,4.28,3.97,,10.7
,Giants,92,70,47,480,162,1457,4.95,2.91,0.74,0.26,73.80%,,,,3.3,3.75,,10.1
,Orioles,87,75,44,474,162,1448.1,4.2,3.02,0.83,0.284,72.90%,,,,4,4.09,,9.5
,Pirates,74,88,40,489,164,1487.2,5,3.26,0.73,0.266,71.50%,,,,3.65,3.85,,9.3
,Yankees,74,87,44,439,161,1414.2,5.01,3.31,0.95,0.3,69.30%,,,,4.54,4.21,,7.5
,Phillies,67,95,33,511,163,1433.1,5.64,3.85,0.8,0.283,70.30%,,,,4.07,4.01,,7.3
,Tigers,59,103,26,414,162,1427.1,5.24,4.11,0.95,0.293,69.70%,,,,4.54,4.43,,4.9
,White Sox,69,92,46,482,161,1422,4.92,3.41,0.91,0.284,70.30%,,,,4.25,4.2,,4.1
1988,Mets,100,60,46,401,160,1439,6.88,2.53,0.49,0.276,73.30%,,,,2.91,2.86,,25.6
,Dodgers,94,67,49,457,162,1463.1,6.33,2.91,0.52,0.272,74.40%,,,,2.96,3.12,,19.7
,Royals,84,77,32,414,161,1428.1,5.58,2.93,0.64,0.288,71.50%,,,,3.65,3.5,,19.3
,Indians,78,84,46,392,162,1434,5.1,2.77,0.75,0.292,68.90%,,,,4.19,3.73,,18.9
,Red Sox,89,73,37,412,162,1426.1,6.85,3.11,0.9,0.294,72.00%,,,,3.98,3.67,,18.7
,Brewers,87,75,51,414,162,1449.2,5.17,2.71,0.78,0.267,73.00%,,,,3.45,3.69,,17.9
,Athletics,104,58,64,452,162,1489.2,5.94,3.34,0.7,0.275,74.50%,,,,3.44,3.63,,17.6
,Mariners,68,93,28,453,161,1428.1,6.18,3.52,0.91,0.284,69.50%,,,,4.19,3.95,,17.1
,Giants,83,79,42,452,162,1462.1,5.39,2.6,0.61,0.265,70.20%,,,,3.4,3.38,,16.3
,Padres,83,78,39,399,161,1449,5.5,2.73,0.7,0.27,73.90%,,,,3.28,3.5,,16
,Twins,91,71,52,427,162,1431.2,5.64,2.85,0.92,0.29,73.20%,,,,3.94,3.88,,15.7
,Cardinals,76,86,42,495,162,1470.2,5.39,2.97,0.56,0.277,71.30%,,,,3.47,3.4,,15.4
,Cubs,77,85,29,453,163,1465,5.51,3.01,0.71,0.291,71.30%,,,,3.88,3.63,,14.4
,Tigers,88,74,36,382,162,1445.2,5.54,3.09,0.93,0.267,73.30%,,,,3.72,3.98,,14.4
,Reds,87,74,43,504,161,1455,5.78,3.12,0.75,0.26,73.90%,,,,3.35,3.66,,13.8
,Angels,75,87,33,424,162,1456,5.05,3.51,0.83,0.289,69.80%,,,,4.31,4.11,,13.1
,Pirates,85,75,46,473,160,1440.2,4.94,2.93,0.67,0.268,72.60%,,,,3.47,3.69,,11.7
,Expos,81,81,43,470,163,1482.2,5.6,2.89,0.74,0.26,74.50%,,,,3.1,3.63,,11.7
,Astros,82,80,40,446,162,1474.2,6.4,2.92,0.75,0.27,72.70%,,,,3.41,3.48,,11.2
,Braves,54,106,25,478,160,1446,5.04,3.26,0.67,0.288,68.90%,,,,4.1,3.8,,11
,Rangers,70,91,31,412,161,1438.2,5.71,4.09,0.81,0.267,69.90%,,,,4.07,4.15,,10.9
,Yankees,85,76,43,465,161,1456,5.32,3.01,0.97,0.286,71.10%,,,,4.27,4.09,,10.9
,Blue Jays,87,75,47,456,162,1449,5.61,3.28,0.89,0.278,73.20%,,,,3.8,4.02,,10.8
,White Sox,71,90,43,454,161,1440,4.71,3.33,0.86,0.28,69.40%,,,,4.13,4.15,,7.9
,Orioles,54,107,26,448,161,1416,4.51,3.32,0.97,0.287,69.10%,,,,4.55,4.37,,6.3
,Phillies,65,96,36,498,162,1433,5.39,3.94,0.74,0.287,70.80%,,,,4.16,4.03,,5
1987,Blue Jays,96,66,43,498,162,1454,6.59,3.51,0.98,0.271,74.30%,,,,3.74,4.04,,21.1
,Royals,83,79,26,387,162,1424,5.83,3.46,0.81,0.289,72.00%,,,,3.87,3.97,,20.9
,Brewers,91,71,45,444,162,1464,6.39,3.25,1.04,0.301,68.90%,,,,4.62,4.09,,19.9
,Expos,91,71,50,497,162,1450.1,6.28,2.77,0.9,0.284,69.50%,,,,3.92,3.75,,18.7
